make,model,year,mileage,color,state,date,price
Toyota,Fusion,2017,60814,red,FL,02:01.6,18831
Ford,Accord,2017,13043,white,NY,02:01.6,41413
Chevrolet,Accord,2011,57496,white,IL,02:01.6,33795
Chevrolet,Camry,2016,85237,silver,IL,02:01.6,11760
Toyota,Accord,2014,71700,blue,TX,02:01.6,30899
Ford,Fusion,2013,35849,red,IL,02:01.6,36146
Nissan,Cruze,2017,43372,black,IL,02:01.6,17555
Honda,Camry,2014,99415,red,IL,02:01.6,38072
Nissan,Cruze,2013,84500,black,CA,02:01.6,40181
Nissan,Altima,2013,69413,silver,TX,02:01.6,38136
Chevrolet,Altima,2014,68376,red,CA,02:01.6,37334
Toyota,Camry,2017,15737,white,NY,02:01.6,11435
Nissan,Camry,2018,32892,silver,NY,02:01.6,41914
Honda,Camry,2013,44379,red,NY,02:01.6,36515
Nissan,Altima,2016,71025,blue,FL,02:01.6,27368
Nissan,Altima,2011,73536,red,FL,02:01.6,44486
Honda,Fusion,2015,16957,blue,NY,02:01.6,37880
Honda,Accord,2013,37644,black,FL,02:01.6,10692
Ford,Accord,2018,96879,silver,TX,02:01.6,47473
Chevrolet,Fusion,2013,34137,blue,NY,02:01.6,10529
Toyota,Altima,2017,45588,red,CA,02:01.6,16357
Chevrolet,Accord,2015,23314,silver,NY,02:01.6,36571
Ford,Fusion,2014,46403,white,TX,02:01.6,38710
Ford,Altima,2015,75443,white,FL,02:01.6,26895
Toyota,Camry,2014,86860,silver,FL,02:01.6,17323
Chevrolet,Accord,2010,89400,blue,FL,02:01.6,33644
Chevrolet,Fusion,2017,64879,silver,CA,02:01.6,43126
Honda,Cruze,2014,37873,white,FL,02:01.6,46229
Nissan,Camry,2013,14718,blue,FL,02:01.6,27729
Toyota,Accord,2015,78651,black,IL,02:01.6,34246
Nissan,Accord,2016,57259,red,CA,02:01.6,22826
Nissan,Cruze,2012,57955,blue,IL,02:01.6,41278
Honda,Cruze,2011,90097,black,TX,02:01.6,10796
Toyota,Accord,2012,73387,white,TX,02:01.6,27021
Ford,Altima,2010,57712,white,NY,02:01.6,40595
Toyota,Accord,2012,63127,red,IL,02:01.6,23615
Chevrolet,Camry,2017,96608,red,NY,02:01.6,16855
Ford,Altima,2017,48626,blue,TX,02:01.6,17012
Nissan,Camry,2014,92009,white,IL,02:01.6,44695
Chevrolet,Cruze,2014,91902,black,NY,02:01.6,42524
Honda,Accord,2012,53192,red,TX,02:01.6,44222
Ford,Cruze,2013,83531,red,FL,02:01.6,36058
Nissan,Cruze,2015,52492,white,TX,02:01.6,31701
Nissan,Accord,2012,29329,white,CA,02:01.6,25319
Nissan,Cruze,2010,14612,blue,IL,02:01.6,41832
Nissan,Cruze,2017,42281,black,FL,02:01.6,38804
Toyota,Fusion,2017,40878,red,NY,02:01.6,45041
Toyota,Altima,2013,35962,red,CA,02:01.6,21950
Chevrolet,Cruze,2012,27076,silver,CA,02:01.6,13663
Toyota,Cruze,2015,13455,silver,IL,02:01.6,10022
Nissan,Accord,2013,79645,white,IL,02:01.6,27302
Ford,Fusion,2017,45278,red,NY,02:01.6,37901
Nissan,Altima,2011,49996,red,FL,02:01.6,39766
Ford,Camry,2015,56036,red,CA,02:01.6,41239
Chevrolet,Camry,2011,44403,black,TX,02:01.6,32807
Nissan,Fusion,2013,87512,white,FL,02:01.6,45667
Honda,Cruze,2017,58173,white,CA,02:01.6,36523
Chevrolet,Cruze,2015,44669,blue,IL,02:01.6,31552
Toyota,Cruze,2012,13828,blue,CA,02:01.6,23405
Toyota,Accord,2015,45721,white,FL,02:01.6,31110
Chevrolet,Altima,2014,77003,red,FL,02:01.6,39335
Nissan,Camry,2012,34280,red,CA,02:01.6,48619
Honda,Accord,2016,81176,white,IL,02:01.6,24038
Ford,Altima,2010,87052,black,FL,02:01.6,37013
Nissan,Altima,2015,32626,black,NY,02:01.6,35991
Ford,Camry,2017,34308,white,IL,02:01.6,19112
Toyota,Cruze,2013,39523,black,NY,02:01.6,11628
Nissan,Fusion,2010,78061,white,CA,02:01.6,39701
Honda,Camry,2011,37028,blue,CA,02:01.6,11859
Ford,Altima,2011,63702,blue,IL,02:01.6,10822
Toyota,Camry,2015,32245,silver,FL,02:01.6,46032
Honda,Accord,2012,65124,black,TX,02:01.6,10319
Nissan,Fusion,2012,81296,red,FL,02:01.6,29894
Nissan,Altima,2018,46644,black,NY,02:01.6,41213
Ford,Cruze,2017,58032,white,CA,02:01.6,33236
Toyota,Camry,2016,92396,silver,IL,02:01.6,16615
Ford,Altima,2011,29008,black,FL,02:01.6,30488
Ford,Cruze,2015,17744,white,FL,02:01.6,36172
Chevrolet,Cruze,2011,98571,white,CA,02:01.6,44999
Ford,Accord,2017,70597,white,IL,02:01.6,10697
Ford,Camry,2017,68513,black,FL,02:01.6,17094
Ford,Fusion,2015,82505,white,CA,02:01.6,12102
Toyota,Cruze,2015,17201,red,CA,02:01.6,15484
Toyota,Cruze,2018,32930,red,IL,02:01.6,42285
Honda,Fusion,2014,43764,black,TX,02:01.6,34087
Ford,Altima,2016,15999,black,FL,02:01.6,19003
Ford,Accord,2013,76917,silver,CA,02:01.6,42116
Toyota,Accord,2015,17637,black,TX,02:01.6,29111
Toyota,Cruze,2015,97559,silver,FL,02:01.6,38738
Ford,Accord,2013,81955,red,FL,02:01.6,12331
Ford,Cruze,2012,66365,black,NY,02:01.6,29545
Nissan,Camry,2010,53007,red,NY,02:01.6,31438
Honda,Cruze,2013,62284,silver,TX,02:01.6,14828
Toyota,Accord,2012,62878,silver,FL,02:01.6,48888
Nissan,Cruze,2016,45529,black,NY,02:01.6,46290
Chevrolet,Accord,2013,72170,black,FL,02:01.6,33688
Toyota,Altima,2015,26405,black,NY,02:01.6,23696
Nissan,Altima,2014,85932,blue,CA,02:01.6,43429
Toyota,Accord,2010,39521,silver,NY,02:01.6,19403
Chevrolet,Cruze,2017,55406,silver,FL,02:01.6,28971
Toyota,Fusion,2014,44613,blue,FL,02:01.6,48339
Honda,Accord,2017,58552,black,CA,02:01.6,29308
Chevrolet,Camry,2013,57696,red,FL,02:01.6,12180
Chevrolet,Accord,2015,98738,blue,FL,02:01.6,47147
Toyota,Camry,2017,62079,red,NY,02:01.6,19363
Ford,Cruze,2015,17092,black,FL,02:01.6,16903
Nissan,Fusion,2014,96681,silver,IL,02:01.6,41438
Ford,Cruze,2014,98661,blue,FL,02:01.6,34128
Nissan,Altima,2015,39523,white,NY,02:01.6,14722
Ford,Cruze,2018,12416,red,CA,02:01.6,32626
Honda,Camry,2010,35263,blue,IL,02:01.6,27678
Ford,Altima,2015,39683,black,FL,02:01.6,44269
Ford,Fusion,2011,56074,white,IL,02:01.6,43061
Nissan,Fusion,2018,82732,blue,TX,02:01.6,30463
Chevrolet,Fusion,2017,73934,blue,NY,02:01.6,30651
Nissan,Altima,2015,13040,red,FL,02:01.6,11644
Chevrolet,Altima,2018,77343,blue,CA,02:01.6,38677
Ford,Cruze,2010,33224,silver,IL,02:01.6,33353
Honda,Altima,2014,57836,black,CA,02:01.6,34040
Chevrolet,Accord,2013,45487,silver,CA,02:01.6,46341
Nissan,Altima,2011,58609,silver,TX,02:01.6,40758
Chevrolet,Accord,2013,43067,black,IL,02:01.6,18228
Ford,Accord,2018,60310,black,IL,02:01.6,36705
Chevrolet,Altima,2011,45148,silver,IL,02:01.6,14041
Chevrolet,Fusion,2015,90755,blue,CA,02:01.6,32967
Ford,Camry,2015,71922,red,NY,02:01.6,17576
Honda,Cruze,2012,34351,white,TX,02:01.6,17846
Chevrolet,Cruze,2012,49033,silver,CA,02:01.6,32056
Chevrolet,Fusion,2011,27215,red,FL,02:01.6,48441
Honda,Fusion,2017,33834,silver,CA,02:01.6,23886
Toyota,Fusion,2014,84608,red,TX,02:01.6,15644
Ford,Altima,2014,78013,white,CA,02:01.6,37398
Honda,Altima,2011,97849,silver,FL,02:01.6,22338
Chevrolet,Accord,2016,10746,white,IL,02:01.6,10719
Nissan,Fusion,2014,51588,blue,NY,02:01.6,26237
Toyota,Fusion,2013,80077,white,CA,02:01.6,23483
Honda,Accord,2014,87613,white,TX,02:01.6,12640
Chevrolet,Accord,2013,64572,red,IL,02:01.6,38058
Chevrolet,Fusion,2013,30864,blue,CA,02:01.6,13811
Ford,Camry,2017,82334,blue,FL,02:01.6,38666
Toyota,Altima,2013,77133,black,IL,02:01.6,11286
Honda,Accord,2018,36610,red,TX,02:01.6,24300
Ford,Cruze,2016,49853,red,FL,02:01.6,39324
Chevrolet,Altima,2015,51912,red,NY,02:01.6,30350
Toyota,Cruze,2013,25133,blue,TX,02:01.6,26020
Ford,Fusion,2014,86633,white,TX,02:01.6,16085
Honda,Altima,2012,69083,silver,TX,02:01.6,33518
Toyota,Accord,2011,89020,black,IL,02:01.6,33420
Nissan,Fusion,2011,43679,black,CA,02:01.6,25434
Toyota,Accord,2012,38167,white,CA,02:01.6,24342
Toyota,Camry,2017,78493,black,TX,02:01.6,34265
Chevrolet,Accord,2011,65871,red,TX,02:01.6,13308
Ford,Fusion,2011,43104,black,CA,02:01.6,18993
Ford,Accord,2011,62908,black,CA,02:01.6,30435
Chevrolet,Accord,2011,86598,blue,CA,02:01.6,19335
Ford,Cruze,2014,89616,white,CA,02:01.6,15917
Chevrolet,Altima,2012,91286,black,FL,02:01.6,23734
Toyota,Cruze,2016,40834,blue,IL,02:01.6,36477
Chevrolet,Camry,2018,92897,black,IL,02:01.6,23119
Chevrolet,Fusion,2011,23290,silver,NY,02:01.6,13056
Chevrolet,Fusion,2011,16125,red,CA,02:01.6,10427
Chevrolet,Camry,2018,25035,blue,FL,02:01.6,22205
Honda,Cruze,2015,46781,silver,CA,02:01.6,10972
Ford,Cruze,2012,12602,black,IL,02:01.6,23578
Chevrolet,Accord,2016,49073,red,TX,02:01.6,38391
Ford,Accord,2018,91185,white,NY,02:01.6,18381
Ford,Camry,2015,87489,black,FL,02:01.6,38995
Nissan,Altima,2010,76542,black,IL,02:01.6,14973
Nissan,Camry,2014,60612,silver,CA,02:01.6,27264
Nissan,Accord,2014,97158,black,FL,02:01.6,13682
Honda,Fusion,2010,37641,blue,FL,02:01.6,31169
Nissan,Cruze,2011,74085,silver,IL,02:01.6,39711
Nissan,Accord,2010,50864,white,TX,02:01.6,18864
Toyota,Camry,2014,25844,red,IL,02:01.6,49871
Honda,Cruze,2016,85494,black,FL,02:01.6,16471
Toyota,Fusion,2012,74178,black,NY,02:01.6,38086
Toyota,Altima,2018,62119,blue,NY,02:01.6,42575
Toyota,Fusion,2011,46281,red,IL,02:01.6,45522
Ford,Altima,2015,89447,silver,CA,02:01.6,22548
Honda,Fusion,2017,36557,blue,FL,02:01.6,26337
Ford,Accord,2011,97633,red,FL,02:01.6,44212
Nissan,Fusion,2011,57775,white,IL,02:01.6,44160
Chevrolet,Fusion,2015,24480,white,CA,02:01.6,20593
Toyota,Camry,2010,72701,black,TX,02:01.6,44661
Ford,Camry,2015,55383,red,TX,02:01.6,32032
Nissan,Fusion,2012,31459,black,NY,02:01.6,32163
Toyota,Cruze,2015,70406,black,FL,02:01.6,25666
Chevrolet,Fusion,2012,33123,blue,IL,02:01.6,12328
Nissan,Altima,2016,25501,black,NY,02:01.6,37535
Nissan,Camry,2016,46099,blue,IL,02:01.6,11584
Toyota,Camry,2012,73749,red,TX,02:01.6,32558
Chevrolet,Cruze,2012,13488,silver,TX,02:01.6,44090
Honda,Accord,2018,24083,white,IL,02:01.6,12852
Honda,Accord,2011,95431,silver,IL,02:01.6,44328
Ford,Fusion,2018,16860,red,NY,02:01.6,45236
Honda,Altima,2010,52992,red,FL,02:01.6,24049
Nissan,Altima,2011,29201,silver,NY,02:01.6,15559
Honda,Cruze,2014,30864,black,NY,02:01.6,48873
Toyota,Cruze,2012,91205,blue,IL,02:01.6,40255
Nissan,Accord,2012,18448,blue,TX,02:01.6,31651
Chevrolet,Cruze,2011,39503,silver,IL,02:01.6,21989
Chevrolet,Camry,2017,32078,white,FL,02:01.6,22534
Toyota,Accord,2010,63073,black,IL,02:01.6,36722
Ford,Fusion,2011,47124,black,TX,02:01.6,30257
Honda,Fusion,2018,90218,white,FL,02:01.6,29560
Chevrolet,Camry,2011,31723,red,CA,02:01.6,25427
Ford,Camry,2010,13299,silver,IL,02:01.6,28940
Chevrolet,Fusion,2017,61942,white,FL,02:01.6,25671
Honda,Camry,2012,23167,blue,CA,02:01.6,18170
Ford,Camry,2014,40278,silver,CA,02:01.6,12861
Toyota,Camry,2017,15878,black,CA,02:01.6,33520
Ford,Cruze,2011,72867,white,NY,02:01.6,17234
Nissan,Fusion,2015,78246,blue,NY,02:01.6,27626
Chevrolet,Cruze,2010,20774,white,FL,02:01.6,10312
Ford,Altima,2011,91306,silver,NY,02:01.6,37530
Chevrolet,Camry,2014,32167,blue,TX,02:01.6,27336
Chevrolet,Cruze,2010,77114,silver,TX,02:01.6,41600
Ford,Altima,2015,87473,silver,FL,02:01.6,11379
Nissan,Camry,2016,74079,red,FL,02:01.6,25169
Honda,Fusion,2015,50841,silver,NY,02:01.6,14419
Chevrolet,Fusion,2010,58245,blue,CA,02:01.6,33985
Ford,Accord,2017,62502,black,FL,02:01.6,37333
Nissan,Altima,2010,92108,red,NY,02:01.6,13831
Chevrolet,Accord,2011,93272,black,IL,02:01.6,12002
Chevrolet,Camry,2018,78890,red,NY,02:01.6,48430
Nissan,Altima,2017,68580,blue,FL,02:01.6,49781
Chevrolet,Accord,2016,51501,blue,IL,02:01.6,10243
Toyota,Altima,2014,24884,silver,FL,02:01.6,28748
Nissan,Fusion,2011,79625,silver,FL,02:01.6,47280
Ford,Fusion,2011,39573,blue,IL,02:01.6,13265
Nissan,Altima,2018,24635,white,CA,02:01.6,15163
Chevrolet,Camry,2015,36888,red,CA,02:01.6,16802
Nissan,Camry,2010,94789,silver,CA,02:01.6,10672
Ford,Accord,2010,42228,black,CA,02:01.6,35497
Ford,Accord,2015,57307,silver,FL,02:01.6,22564
Toyota,Camry,2014,99124,black,IL,02:01.6,16344
Honda,Altima,2015,32834,white,TX,02:01.6,17855
Honda,Cruze,2011,96442,silver,CA,02:01.6,46996
Toyota,Accord,2011,58468,silver,CA,02:01.6,14328
Chevrolet,Accord,2012,19202,black,TX,02:01.6,26727
Chevrolet,Altima,2014,44170,red,NY,02:01.6,24502
Honda,Altima,2017,69823,white,CA,02:01.6,14480
Nissan,Camry,2011,54811,black,TX,02:01.6,10188
Chevrolet,Altima,2012,48614,blue,NY,02:01.6,20475
Honda,Altima,2018,51026,white,FL,02:01.6,29581
Honda,Camry,2018,60743,blue,TX,02:01.6,40380
Honda,Accord,2018,13677,red,IL,02:01.6,29954
Ford,Camry,2010,57651,black,CA,02:01.6,32950
Toyota,Altima,2013,30306,black,CA,02:01.6,36530
Chevrolet,Camry,2014,91723,red,FL,02:01.6,48533
Ford,Fusion,2016,89481,white,IL,02:01.6,18592
Chevrolet,Altima,2011,33225,black,FL,02:01.6,19572
Toyota,Cruze,2017,84102,black,FL,02:01.6,35908
Nissan,Camry,2010,71827,white,NY,02:01.6,23000
Chevrolet,Accord,2011,23828,blue,TX,02:01.6,17561
Ford,Cruze,2011,72653,white,TX,02:01.6,41021
Toyota,Fusion,2011,96214,red,FL,02:01.6,20773
Honda,Fusion,2013,25360,blue,IL,02:01.6,38818
Toyota,Accord,2010,27932,black,NY,02:01.6,16432
Honda,Fusion,2018,16069,silver,CA,02:01.6,24439
Honda,Cruze,2017,89704,red,TX,02:01.6,40498
Toyota,Cruze,2013,42757,white,TX,02:01.6,38837
Honda,Fusion,2010,56055,black,TX,02:01.6,49053
Chevrolet,Cruze,2011,91582,silver,CA,02:01.6,47689
Ford,Cruze,2010,67858,red,TX,02:01.6,13810
Chevrolet,Fusion,2018,48959,black,IL,02:01.6,22883
Chevrolet,Altima,2017,58324,white,IL,02:01.6,26135
Ford,Camry,2013,20731,silver,IL,02:01.6,49875
Toyota,Fusion,2012,13339,blue,CA,02:01.6,31772
Honda,Accord,2011,42618,silver,NY,02:01.6,15403
Nissan,Altima,2016,27900,blue,CA,02:01.6,13882
Nissan,Accord,2014,63271,red,CA,02:01.6,20427
Nissan,Cruze,2011,65150,black,TX,02:01.6,42105
Nissan,Altima,2017,42174,blue,CA,02:01.6,30961
Honda,Accord,2017,18722,silver,TX,02:01.6,45798
Honda,Accord,2010,37366,blue,NY,02:01.6,31932
Nissan,Cruze,2015,55094,black,IL,02:01.6,41268
Ford,Camry,2010,12159,red,TX,02:01.6,36923
Ford,Cruze,2014,99672,black,FL,02:01.6,27771
Chevrolet,Fusion,2015,49809,blue,CA,02:01.6,43731
Toyota,Cruze,2017,91115,silver,IL,02:01.6,38568
Chevrolet,Accord,2015,13250,black,IL,02:01.6,28707
Honda,Fusion,2013,42349,black,IL,02:01.6,17475
Toyota,Camry,2013,11254,blue,CA,02:01.6,38759
Toyota,Fusion,2013,52368,silver,FL,02:01.6,37960
Toyota,Camry,2014,19779,blue,CA,02:01.6,10039
Toyota,Altima,2018,19715,blue,NY,02:01.6,36399
Chevrolet,Accord,2011,21653,blue,IL,02:01.6,24181
Chevrolet,Cruze,2011,19845,silver,NY,02:01.6,31425
Toyota,Fusion,2017,55039,black,NY,02:01.6,21604
Toyota,Camry,2013,97328,blue,NY,02:01.6,27098
Chevrolet,Fusion,2014,13850,silver,TX,02:01.6,28979
Toyota,Cruze,2010,31949,silver,FL,02:01.6,46335
Nissan,Altima,2010,14718,red,NY,02:01.6,40949
Chevrolet,Accord,2015,51768,black,IL,02:01.6,49464
Chevrolet,Accord,2011,60630,blue,CA,02:01.6,18043
Toyota,Accord,2018,92122,blue,NY,02:01.6,33949
Nissan,Accord,2010,52060,black,IL,02:01.6,12262
Chevrolet,Fusion,2018,96576,white,TX,02:01.6,22367
Nissan,Accord,2010,23354,black,TX,02:01.6,34836
Honda,Accord,2013,35840,silver,IL,02:01.6,44838
Ford,Fusion,2012,50011,black,TX,02:01.6,37071
Toyota,Altima,2018,44032,red,NY,02:01.6,22669
Nissan,Altima,2015,71480,red,CA,02:01.6,19878
Toyota,Fusion,2010,50375,silver,TX,02:01.6,13699
Chevrolet,Camry,2010,35552,silver,TX,02:01.6,33378
Nissan,Accord,2017,62439,white,CA,02:01.6,19660
Chevrolet,Accord,2017,75565,red,TX,02:01.6,30933
Ford,Accord,2012,72705,silver,CA,02:01.6,27587
Toyota,Fusion,2011,56794,blue,NY,02:01.6,15995
Ford,Accord,2016,92247,white,NY,02:01.6,38301
Honda,Fusion,2016,59068,red,NY,02:01.6,14314
Honda,Accord,2018,76692,red,IL,02:01.6,24581
Nissan,Altima,2018,32730,blue,IL,02:01.6,35839
Nissan,Altima,2011,34825,white,TX,02:01.6,23254
Ford,Camry,2012,60679,red,IL,02:01.6,39285
Toyota,Cruze,2011,87526,silver,FL,02:01.6,12541
Chevrolet,Camry,2012,78562,white,NY,02:01.6,15896
Chevrolet,Cruze,2018,85808,blue,FL,02:01.6,25127
Ford,Accord,2012,39083,silver,IL,02:01.6,19270
Ford,Cruze,2013,65602,blue,IL,02:01.6,29797
Ford,Camry,2012,10603,white,NY,02:01.6,43674
Chevrolet,Altima,2015,55710,red,IL,02:01.6,40666
Toyota,Camry,2015,31509,white,TX,02:01.6,45668
Ford,Altima,2010,10284,silver,TX,02:01.6,35653
Honda,Accord,2017,71930,white,CA,02:01.6,37752
Chevrolet,Camry,2013,14489,silver,TX,02:01.6,27512
Ford,Camry,2014,60472,blue,NY,02:01.6,23797
Nissan,Camry,2016,49003,white,CA,02:01.6,40439
Nissan,Cruze,2013,58468,black,FL,02:01.6,17700
Honda,Accord,2010,49497,black,IL,02:01.6,14358
Nissan,Cruze,2013,69549,blue,CA,02:01.6,49278
Ford,Accord,2011,55080,blue,TX,02:01.6,18482
Honda,Cruze,2017,22650,red,CA,02:01.6,21426
Chevrolet,Fusion,2016,59786,red,FL,02:01.6,22012
Chevrolet,Accord,2010,24517,silver,IL,02:01.6,42874
Toyota,Camry,2012,93536,black,NY,02:01.6,34668
Chevrolet,Camry,2018,33094,red,NY,02:01.6,19870
Chevrolet,Accord,2015,34463,silver,TX,02:01.6,14014
Nissan,Cruze,2012,20543,silver,TX,02:01.6,41558
Toyota,Cruze,2018,43040,blue,CA,02:01.6,15424
Nissan,Altima,2017,12636,blue,NY,02:01.6,20570
Toyota,Cruze,2017,44337,black,TX,02:01.6,19280
Nissan,Camry,2012,40801,black,NY,02:01.6,47770
Nissan,Cruze,2012,58496,red,IL,02:01.6,31589
Honda,Cruze,2012,33296,black,FL,02:01.6,17167
Toyota,Camry,2012,65415,red,NY,02:01.6,39905
Ford,Fusion,2017,15177,red,TX,02:01.6,12947
Chevrolet,Accord,2011,14481,red,FL,02:01.6,49998
Ford,Cruze,2016,18833,blue,TX,02:01.6,19160
Ford,Camry,2010,47454,blue,TX,02:01.6,21131
Honda,Camry,2011,92036,black,NY,02:01.6,48213
Nissan,Accord,2011,92817,blue,CA,02:01.6,43178
Nissan,Camry,2011,40408,silver,NY,02:01.6,11022
Ford,Altima,2014,85896,red,FL,02:01.6,33091
Toyota,Altima,2018,92711,red,TX,02:01.6,15887
Nissan,Camry,2011,94750,black,IL,02:01.6,11168
Nissan,Cruze,2011,84321,red,FL,02:01.6,25574
Honda,Camry,2018,99367,blue,FL,02:01.6,11520
Toyota,Altima,2011,94147,red,NY,02:01.6,29682
Ford,Fusion,2011,51299,white,IL,02:01.6,27363
Chevrolet,Cruze,2012,70135,red,CA,02:01.6,21949
Toyota,Cruze,2015,55104,blue,TX,02:01.6,28912
Ford,Altima,2017,33161,white,CA,02:01.6,21365
Nissan,Accord,2018,27116,silver,IL,02:01.6,21468
Ford,Cruze,2018,69843,blue,TX,02:01.6,24188
Nissan,Accord,2018,67273,blue,IL,02:01.6,28814
Toyota,Camry,2010,13941,silver,CA,02:01.6,18722
Honda,Camry,2010,49124,red,CA,02:01.6,35758
Nissan,Cruze,2013,44792,white,CA,02:01.6,32496
Honda,Camry,2016,77970,red,TX,02:01.6,13406
Nissan,Accord,2013,91399,silver,TX,02:01.6,45893
Honda,Camry,2017,43095,silver,CA,02:01.6,45353
Chevrolet,Camry,2011,86851,black,FL,02:01.6,14660
Honda,Accord,2018,30430,black,NY,02:01.6,45372
Ford,Altima,2013,99359,white,CA,02:01.6,28183
Chevrolet,Accord,2010,55674,white,IL,02:01.6,19455
Chevrolet,Altima,2015,62638,red,NY,02:01.6,46267
Chevrolet,Camry,2010,64763,white,IL,02:01.6,43757
Ford,Accord,2017,85118,silver,IL,02:01.6,34569
Toyota,Camry,2010,30378,silver,TX,02:01.6,46952
Ford,Fusion,2012,27905,black,TX,02:01.6,43169
Honda,Cruze,2012,15306,white,TX,02:01.6,32734
Nissan,Cruze,2017,52959,white,FL,02:01.6,36238
Toyota,Altima,2013,34269,black,CA,02:01.6,14146
Chevrolet,Fusion,2010,15787,blue,IL,02:01.6,21754
Nissan,Fusion,2012,67229,black,IL,02:01.6,40220
Toyota,Camry,2010,45377,blue,IL,02:01.6,47370
Toyota,Fusion,2014,25925,red,FL,02:01.6,49763
Nissan,Altima,2012,37108,red,CA,02:01.6,11046
Chevrolet,Altima,2017,89329,silver,NY,02:01.6,16770
Chevrolet,Altima,2018,79387,red,IL,02:01.6,17762
Toyota,Cruze,2010,51063,blue,TX,02:01.6,45388
Toyota,Fusion,2011,89139,red,IL,02:01.6,35765
Toyota,Fusion,2017,77362,white,CA,02:01.6,47268
Ford,Fusion,2018,71010,blue,TX,02:01.6,49401
Ford,Cruze,2016,34172,red,IL,02:01.6,46266
Ford,Altima,2010,72079,silver,FL,02:01.6,10539
Honda,Altima,2016,14572,black,TX,02:01.6,29932
Toyota,Camry,2010,69884,red,NY,02:01.6,47735
Chevrolet,Accord,2018,55787,silver,NY,02:01.6,12249
Toyota,Accord,2011,16646,blue,FL,02:01.6,10439
Toyota,Fusion,2014,54387,silver,CA,02:01.6,39628
Chevrolet,Accord,2017,86700,white,IL,02:01.6,46310
Ford,Altima,2013,50918,white,FL,02:01.6,13274
Toyota,Camry,2014,44743,silver,FL,02:01.6,35663
Nissan,Altima,2016,76351,black,IL,02:01.6,14690
Nissan,Fusion,2010,44589,red,TX,02:01.6,40205
Toyota,Cruze,2018,98225,blue,NY,02:01.6,48224
Chevrolet,Altima,2010,51939,silver,FL,02:01.6,43023
Honda,Cruze,2014,84920,blue,CA,02:01.6,14548
Toyota,Altima,2018,89119,black,CA,02:01.6,30225
Chevrolet,Cruze,2013,30849,black,CA,02:01.6,17482
Chevrolet,Accord,2018,61324,white,TX,02:01.6,47640
Toyota,Accord,2017,69402,blue,TX,02:01.6,43998
Ford,Cruze,2010,49268,blue,NY,02:01.6,15274
Toyota,Fusion,2010,47494,blue,FL,02:01.6,18680
Chevrolet,Camry,2016,31139,black,CA,02:01.6,12166
Nissan,Altima,2018,11522,blue,TX,02:01.6,19083
Nissan,Fusion,2010,79097,red,TX,02:01.6,36667
Toyota,Altima,2013,38723,red,TX,02:01.6,39412
Toyota,Accord,2016,37974,blue,FL,02:01.6,31357
Chevrolet,Altima,2017,31998,white,FL,02:01.6,24529
Nissan,Altima,2016,57621,black,IL,02:01.6,16871
Honda,Cruze,2015,93098,red,FL,02:01.6,11894
Honda,Camry,2013,90392,silver,CA,02:01.6,28391
Honda,Cruze,2016,54801,silver,FL,02:01.6,17990
Nissan,Accord,2014,67663,silver,FL,02:01.6,25891
Honda,Accord,2010,16598,silver,TX,02:01.6,48900
Nissan,Fusion,2014,89764,black,IL,02:01.6,43031
Ford,Altima,2014,15804,silver,NY,02:01.6,48082
Toyota,Camry,2018,82612,white,NY,02:01.6,43827
Ford,Cruze,2011,67456,silver,IL,02:01.6,23716
Honda,Camry,2011,20205,red,FL,02:01.6,25546
Chevrolet,Accord,2013,75756,blue,IL,02:01.6,17613
Toyota,Accord,2010,32856,white,TX,02:01.6,27073
Nissan,Camry,2015,30860,blue,NY,02:01.6,20084
Nissan,Camry,2012,28559,silver,IL,02:01.6,28207
Nissan,Fusion,2010,72041,black,CA,02:01.6,29198
Chevrolet,Fusion,2012,53227,white,TX,02:01.6,46923
Chevrolet,Cruze,2010,24728,red,CA,02:01.6,25142
Toyota,Camry,2013,39088,silver,FL,02:01.6,20071
Honda,Fusion,2011,63467,red,TX,02:01.6,41502
Honda,Fusion,2017,82367,black,NY,02:01.6,27958
Honda,Accord,2014,38851,blue,CA,02:01.6,10247
Ford,Accord,2011,84988,silver,IL,02:01.6,19130
Chevrolet,Altima,2010,60958,red,TX,02:01.6,46759
Honda,Altima,2017,51565,black,FL,02:01.6,27113
Chevrolet,Accord,2016,42425,blue,FL,02:01.6,48936
Honda,Accord,2013,75311,white,NY,02:01.6,28296
Ford,Cruze,2012,59443,silver,FL,02:01.6,42159
Toyota,Altima,2014,62073,blue,CA,02:01.6,19027
Ford,Altima,2018,44878,black,IL,02:01.6,47356
Nissan,Fusion,2015,88007,white,TX,02:01.6,21480
Ford,Fusion,2012,78092,blue,IL,02:01.6,22058
Ford,Accord,2018,20835,white,IL,02:01.6,25712
Toyota,Fusion,2010,84786,black,NY,02:01.6,40159
Nissan,Altima,2018,98391,white,CA,02:01.6,22681
Ford,Fusion,2012,30177,black,IL,02:01.6,15581
Toyota,Cruze,2017,22225,white,CA,02:01.6,30949
Ford,Camry,2017,56198,black,NY,02:01.6,29246
Toyota,Fusion,2013,46763,blue,NY,02:01.6,43572
Honda,Cruze,2017,87423,silver,NY,02:01.6,47348
Ford,Altima,2018,86239,blue,FL,02:01.6,22701
Honda,Camry,2015,49429,white,CA,02:01.6,16017
Toyota,Altima,2010,64316,silver,CA,02:01.6,45297
Toyota,Fusion,2014,34917,black,FL,02:01.6,40133
Nissan,Altima,2017,25716,red,TX,02:01.6,10091
